rubro,codigo,descripcion
galletitas,7894189,Paseo mix de cereales
galletitas,7894190,Paseos 5 semillas 300g
galletitas,7894196,Tostadas dulce Riera gluten
galletitas,7894198,Pepitos chispas 57 grs
galletitas,7894223,terrabusi Express x3 paquetes
galletitas,7894252,Gallo snacks tortita negra 50 grs
galletitas,7894254,Trio pepas Scons 300g
galletitas,7894298,Oreo Golden
galletitas,7894302,9 de oro agridulces
galletitas,7894306,Zelfa bizcochos materos
galletitas,7894308,Serranitas 105 grs
galletitas,7894310,Granagua sandwich granix 200 g
galletitas,7894354,Formis chocolate 72 grs
galletitas,7894355,Formis frutilla 72 grs
galletitas,7894356,Cerealitas avena y coco 231 g
galletitas,7894363,Vainillas mauri
galletitas,7894398,Galleta Quaker avena granola
galletitas,7894399,Toddy black 210g
galletitas,7894415,Paseo mini salvado
galletitas,7894428,Mini oreo chocolate 50 grs
galletitas,7894435,Cukis pepas 380 grs
galletitas,7894437,LIRE
galletitas,7894460,Bizcochos de arroz Gallo queso 100g
galletitas,7894469,Pitusas 350g
galletitas,7894494,Tro tri choc
galletitas,7894507,pastafrola membrillo 40g
galletitas,7894508,barrita Crowie Coco
galletitas,7894518,quaker galleta rellena frutilla 110 grs
galletitas,7894519,quaker galleta rellena vainilla
galletitas,7894520,Quaker galletas manzana canela 187 grs
galletitas,7894521,Quaker galleta avena y pasas
galletitas,7894530,Rocklets galletitas
galletitas,7894538,Paseo mini crackers sésamo
galletitas,7894539,Paseo mini crackets salvado
galletitas,7894548,Galletas perssiotto hojaldre cuadrada
galletitas,7894551,Terepín Soft frutos del bosque
galletitas,7894569,Opera x3 original
galletitas,7894570,Opera x3 frutilla
galletitas,7894571,Criollitas finitas
galletitas,7894572,Ser tostadas horneadas
galletitas,7894582,Trio Angeladas 300g
galletitas,7894586,Serranitas x3  315g
galletitas,7894604,Galletitas Horóscopo
galletitas,7894605,Galletitas marmoladas fantoche
galletitas,7894630,bizcochitos principito sabor queso y ciboulet
galletitas,7894632,Express light 108g
